GAME,Hitter,PA,AB,H,1B,2B,3B,HR,RBI,BB,K,TB,GDP,HBP,SH,SF,IBB,RBOE,CS,SB
ANA201006250,"Brad Hawpe",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANA201006250,"Carlos Gonzalez",5,4,1,1,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0
ANA201006250,"Chris Iannetta",5,5,2,0,1,0,1,2,0,2,6,0,0,0,0,0,0,0,0
ANA201006250,"Clint Barmes",4,4,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
ANA201006250,"Ian Stewart",5,5,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
ANA201006250,"Jason Giambi",5,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
ANA201006250,"Jonathan Herrera",6,6,3,3,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0
ANA201006250,"Melvin Mora",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANA201006250,"Ryan Spilborghs",4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ANA201006250,"Seth Smith",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA201006250,"Todd Helton",6,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ANA201006260,"Carlos Gonzalez",4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ANA201006260,"Clint Barmes",3,3,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0
ANA201006260,"Ian Stewart",3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
ANA201006260,"Jason Giambi",4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANA201006260,"Jonathan Herrera",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANA201006260,"Melvin Mora",4,3,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0
ANA201006260,"Miguel Olivo",4,4,1,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0
ANA201006260,"Ryan Spilborghs",4,3,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
ANA201006260,"Seth Smith",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA201006270,"Carlos Gonzalez",4,4,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ANA201006270,"Chris Iannetta",4,4,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0
ANA201006270,"Clint Barmes",4,4,2,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
ANA201006270,"Ian Stewart",3,3,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0
ANA201006270,"Jason Giambi",4,3,1,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0
ANA201006270,"Jonathan Herrera",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ANA201006270,"Melvin Mora",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA201006270,"Ryan Spilborghs",4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANA201006270,"Seth Smith",4,4,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
ANA201006270,"Todd Helton",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI201006040,"Aaron Cook",2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARI201006040,"Brad Hawpe",4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
ARI201006040,"Carlos Gonzalez",5,5,1,0,0,0,1,1,0,2,4,0,0,0,0,0,0,0,0
ARI201006040,"Clint Barmes",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI201006040,"Ian Stewart",4,4,1,0,0,0,1,3,0,3,4,0,0,0,0,0,0,0,0
ARI201006040,"Jonathan Herrera",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARI201006040,"Miguel Olivo",4,2,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
ARI201006040,"Ryan Spilborghs",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARI201006040,"Seth Smith",4,3,1,0,0,0,1,2,1,2,4,0,0,0,0,0,0,0,0
ARI201006040,"Todd Helton",4,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
ARI201006040,"Troy Tulowitzki",4,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
ARI201006050,"Brad Hawpe",5,4,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0
ARI201006050,"Carlos Gonzalez",5,4,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
ARI201006050,"Chris Iannetta",4,2,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0
ARI201006050,"Clint Barmes",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARI201006050,"Ian Stewart",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARI201006050,"Jason Giambi",5,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
ARI201006050,"Jhoulis Chacin",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARI201006050,"Melvin Mora",5,4,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
ARI201006050,"Ryan Spilborghs",5,4,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
ARI201006050,"Seth Smith",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ARI201006050,"Troy Tulowitzki",5,4,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
ARI201006060,"Brad Hawpe",4,4,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ARI201006060,"Carlos Gonzalez",4,4,2,1,1,0,0,2,0,2,3,0,0,0,0,0,0,0,0
ARI201006060,"Clint Barmes",4,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ARI201006060,"Ian Stewart",4,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ARI201006060,"Jason Giambi",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI201006060,"Miguel Olivo",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI201006060,"Seth Smith",4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARI201006060,"Todd Helton",4,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
ARI201006060,"Troy Tulowitzki",4,4,2,1,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0
