GAME,Hitter,PA,AB,H,1B,2B,3B,HR,RBI,BB,K,TB,GDP,HBP,SH,SF,IBB,RBOE,CS,SB
COL201004090,"Brad Hawpe",4,3,2,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0
COL201004090,"Carlos Gonzalez",5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
COL201004090,"Clint Barmes",4,4,1,0,0,0,1,3,0,1,4,0,0,0,0,0,0,0,0
COL201004090,"Dexter Fowler",5,3,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
COL201004090,"Ian Stewart",4,4,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
COL201004090,"Jorge de la Rosa",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COL201004090,"Miguel Olivo",4,4,2,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0
COL201004090,"Ryan Spilborghs",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COL201004090,"Seth Smith",1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
COL201004090,"Todd Helton",4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
COL201004090,"Troy Tulowitzki",4,4,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
COL201004100,"Brad Hawpe",6,6,3,0,1,0,2,2,0,1,10,0,0,0,0,0,0,0,0
COL201004100,"Carlos Gonzalez",6,6,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
COL201004100,"Chris Iannetta",6,6,1,0,0,0,1,1,0,2,4,0,0,0,0,0,0,0,0
COL201004100,"Clint Barmes",5,5,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
COL201004100,"Dexter Fowler",6,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
COL201004100,"Ian Stewart",6,5,3,3,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0
COL201004100,"Jason Giambi",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COL201004100,"Jason Hammel",2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
COL201004100,"Melvin Mora",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL201004100,"Seth Smith",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COL201004100,"Todd Helton",6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COL201004100,"Troy Tulowitzki",6,6,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
COL201004110,"Brad Hawpe",4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
COL201004110,"Carlos Gonzalez",2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
COL201004110,"Dexter Fowler",2,1,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0
COL201004110,"Ian Stewart",4,4,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
COL201004110,"Jason Giambi",4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
COL201004110,"Melvin Mora",4,4,1,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0
COL201004110,"Miguel Olivo",4,4,2,1,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0
COL201004110,"Ryan Spilborghs",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COL201004110,"Seth Smith",4,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
COL201004110,"Troy Tulowitzki",4,4,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
COL201004110,"Ubaldo Jimenez",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COL201004130,"Brad Hawpe",1,1,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0
COL201004130,"Clint Barmes",5,3,1,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1
COL201004130,"Dexter Fowler",5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COL201004130,"Greg Smith",4,3,1,0,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0
COL201004130,"Ian Stewart",5,3,1,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0
COL201004130,"Miguel Olivo",5,5,2,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0
COL201004130,"Ryan Spilborghs",4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
COL201004130,"Seth Smith",5,5,2,0,1,0,1,3,0,1,6,0,0,0,0,0,0,0,0
COL201004130,"Todd Helton",5,3,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
COL201004130,"Troy Tulowitzki",5,3,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
COL201004140,"Aaron Cook",3,3,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0
COL201004140,"Brad Hawpe",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL201004140,"Chris Iannetta",5,5,3,2,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0
COL201004140,"Clint Barmes",4,4,1,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0
COL201004140,"Dexter Fowler",5,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
COL201004140,"Ian Stewart",5,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
COL201004140,"Ryan Spilborghs",5,5,2,1,0,0,1,3,0,1,5,0,0,0,0,0,0,0,0
COL201004140,"Seth Smith",5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COL201004140,"Todd Helton",5,5,2,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0
COL201004140,"Troy Tulowitzki",5,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
COL201004150,"Brad Hawpe",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COL201004150,"Clint Barmes",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL201004150,"Dexter Fowler",4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COL201004150,"Ian Stewart",4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COL201004150,"Jason Giambi",4,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
COL201004150,"Jorge de la Rosa",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
