nameFirst,nameLast,yearID,teamID,POS,G,PO,A,E,DP,PB,WP,SB,CS
Frank,Abercrombie,1871,TRO,SS,1,1,3,2,0,,,,
Bob,Addy,1871,RC1,2B,22,67,72,42,5,,,,
Bob,Addy,1871,RC1,SS,3,8,14,7,0,,,,
Art,Allison,1871,CL1,2B,2,1,4,0,0,,,,
Art,Allison,1871,CL1,OF,29,51,3,7,1,,,,
Doug,Allison,1871,WS3,C,27,68,15,20,4,0,,,
Cap,Anson,1871,RC1,1B,1,7,0,0,0,,,,
Cap,Anson,1871,RC1,2B,2,3,4,1,0,,,,
Cap,Anson,1871,RC1,3B,20,38,52,28,2,,,,
Cap,Anson,1871,RC1,C,5,10,0,8,0,0,,,
Cap,Anson,1871,RC1,OF,1,0,0,0,0,,,,
Robert,Armstrong,1871,FW1,OF,12,29,2,7,0,,,,
Al,Barker,1871,RC1,OF,1,2,0,0,0,,,,
Ross,Barnes,1871,BS1,2B,16,42,61,15,10,,,,
Ross,Barnes,1871,BS1,SS,15,44,64,21,3,,,,
Bill,Barrett,1871,FW1,3B,1,1,0,0,0,,,,
Bill,Barrett,1871,FW1,C,1,8,0,0,0,0,,,
Frank,Barrows,1871,BS1,2B,1,2,0,1,0,,,,
Frank,Barrows,1871,BS1,OF,17,28,1,6,0,,,,
John,Bass,1871,CL1,C,1,4,0,1,0,0,,,
John,Bass,1871,CL1,SS,22,41,61,29,3,,,,
Joe,Battin,1871,CL1,OF,1,1,0,0,0,,,,
Tommy,Beals,1871,WS3,2B,2,9,7,0,1,,,,
Tommy,Beals,1871,WS3,OF,8,20,1,6,0,,,,
Edward,Beavens,1871,TRO,2B,3,8,10,4,2,,,,
George,Bechtel,1871,PH1,3B,3,3,3,2,0,,,,
George,Bechtel,1871,PH1,OF,15,21,2,5,1,,,,
George,Bechtel,1871,PH1,P,3,1,7,0,0,,,,
Steve,Bellan,1871,TRO,3B,28,48,49,39,4,,,,
Steve,Bellan,1871,TRO,SS,1,1,4,0,0,,,,
Nate,Berkenstock,1871,PH1,OF,1,3,0,0,0,,,,
Tom,Berry,1871,PH1,OF,1,0,0,1,0,,,,
Harry,Berthrong,1871,WS3,2B,5,16,10,7,1,,,,
Harry,Berthrong,1871,WS3,C,1,0,0,1,0,0,,,
Harry,Berthrong,1871,WS3,OF,12,29,0,7,0,,,,
Charles,Bierman,1871,FW1,1B,1,9,0,2,0,,,,
George,Bird,1871,RC1,OF,25,32,2,11,0,,,,
Dave,Birdsall,1871,BS1,C,7,9,6,2,0,0,,,
