nameFirst,nameLast,yearID,Glf,Gcf,Grf
Art,Allison,1871,0,29,0
Cap,Anson,1871,1,0,0
Robert,Armstrong,1871,0,11,1
Al,Barker,1871,1,0,0
Frank,Barrows,1871,13,0,4
Joe,Battin,1871,0,0,1
Tommy,Beals,1871,4,0,4
George,Bechtel,1871,1,3,11
Nate,Berkenstock,1871,0,0,1
Tom,Berry,1871,0,0,1
Harry,Berthrong,1871,11,1,0
George,Bird,1871,1,25,0
Dave,Birdsall,1871,0,0,27
Henry,Burroughs,1871,4,0,4
Fred,Cone,1871,18,0,1
Ned,Connor,1871,0,0,3
Bill,Craver,1871,0,0,1
Ned,Cuthbert,1871,27,0,0
Harry,Deane,1871,6,0,0
Pete,Donnelly,1871,2,1,6
Dave,Eggler,1871,0,33,0
George,Ewell,1871,0,0,1
Clipper,Flynn,1871,0,0,8
Tom,Foley,1871,2,9,5
Jim,Foran,1871,3,1,0
John,Glenn,1871,1,0,25
Charlie,Gould,1871,0,0,1
George,Hall,1871,1,31,0
Ralph,Ham,1871,19,0,0
Scott,Hastings,1871,2,1,0
John,Hatfield,1871,24,0,0
George,Heubel,1871,0,0,16
Dick,Higham,1871,0,0,8
Charlie,Hodes,1871,0,3,1
Ham,Allen,1872,4,3,2
Andy,Allison,1872,0,0,1
Art,Allison,1872,0,17,2
Bill,Allison,1872,0,1,1
Billy,Arnold,1872,0,0,2
John,Barrett,1872,8,0,0
John,Bass,1872,0,0,2
Tommy,Beals,1872,0,2,0
Edward,Beavens,1872,1,0,0
George,Bechtel,1872,13,0,37
Steve,Bellan,1872,0,6,0
Cy,Bentley,1872,0,0,7
Oscar,Bielaski,1872,0,0,10
Dave,Birdsall,1872,4,0,4
Eddie,Booth,1872,0,3,1
Eddie,Booth,1872,6,0,8
Bill,Boyd,1872,0,0,1
Asa,Brainard,1872,0,0,1
Oliver,Brown,1872,0,0,4
Henry,Burroughs,1872,0,2,0
Frank,Buttery,1872,0,0,8
Tom,Carey,1872,0,0,3
John,Clapp,1872,0,1,0
Jim,Clinton,1872,0,8,3
Dennis,Coughlin,1872,0,5,0
Bill,Craver,1872,0,0,4
Candy,Cummings,1872,1,0,1
Ned,Cuthbert,1872,47,0,0
Herm,Doscher,1872,0,0,6
Dave,Eggler,1872,1,55,0
George,Fields,1872,1,0,4
Cherokee,Fisher,1872,0,3,17
Frank,Fleet,1872,0,1,1
George,Fletcher,1872,0,0,2
Count,Gedney,1872,0,9,0
Count,Gedney,1872,18,0,0
John,Glenn,1872,9,0,0
John,Glenn,1872,0,1,0
Charlie,Gould,1872,0,0,2
George,Hall,1872,3,51,0
Scott,Hastings,1872,0,3,5
Scott,Hastings,1872,0,1,0
George,Heubel,1872,0,5,0
Nat,Hicks,1872,0,0,3
,Higby,1872,0,0,1
Dick,Higham,1872,0,2,22
Charlie,Hodes,1872,0,4,0
Bob,Addy,1873,0,0,31
Art,Allison,1873,8,9,4
Doug,Allison,1873,0,1,2
Doug,Allison,1873,0,0,1
Cap,Anson,1873,0,3,0
Ed,Atkinson,1873,0,0,2
Henry,Austin,1873,0,14,9
Bill,Barrett,1873,0,0,1
Joe,Battin,1873,0,1,0
Tommy,Beals,1873,1,0,0
George,Bechtel,1873,0,1,51
Oscar,Bielaski,1873,2,0,36
Dave,Birdsall,1873,0,0,3
Eddie,Booth,1873,15,0,2
Eddie,Booth,1873,0,4,12
Bill,Boyd,1873,0,0,43
Asa,Brainard,1873,0,0,2
Jim,Britt,1873,0,0,3
Hugh,Campbell,1873,0,0,1
Michael,Campbell,1873,0,0,1
John,Clapp,1873,0,1,0
Bill,Craver,1873,0,7,0
Ned,Cuthbert,1873,51,0,0
Jim,Devlin,1873,0,0,1
John,Donnelly,1873,0,6,0
Herm,Doscher,1873,0,1,0
Dave,Eggler,1873,0,53,0
Frederick,Ehlen,1873,0,0,1
John,Farrow,1873,0,0,3
Cherokee,Fisher,1873,1,2,43
Bill,French,1873,0,0,2
Count,Gedney,1873,53,0,0
George,Hall,1873,0,35,0
Scott,Hastings,1873,0,12,0
John,Hatfield,1873,0,0,1
Dick,Higham,1873,0,1,18
Paul,Hines,1873,36,0,0
Holly,Hollingshead,1873,0,30,0
Mike,Hooper,1873,2,0,0
Doug,Allison,1874,0,3,44
Cap,Anson,1874,0,0,8
Ross,Barnes,1874,1,0,0
Billy,Barnie,1874,0,4,25
Joe,Battin,1874,0,2,5
Tommy,Beals,1874,1,2,6
George,Bechtel,1874,1,0,28
Oscar,Bielaski,1874,0,1,43
Frederick,Boardman,1874,0,0,1
Eddie,Booth,1874,44,0,0
Bill,Boyd,1874,0,0,1
Steve,Brady,1874,0,5,6
Asa,Brainard,1874,1,1,0
Jack,Burdock,1874,2,1,0
Jack,Chapman,1874,0,1,52
Bobby,Clack,1874,1,30,0
John,Clapp,1874,0,1,14
